题目 ID,题型,地区,题干,选项 A,选项 B,选项 C,选项 D,正确答案,解析,难度等级
108,多选,浙江,以下属于浙江国家级非遗的剪纸 / 刻纸技艺有？,乐清细纹刻纸,杭州剪纸,金华剪纸,宁波剪纸,A,仅乐清细纹刻纸为浙江国家级非遗；其余三项为省级非遗,中等
109,多选,江苏,以下属于江苏省级及以上非遗的民俗项目有？,惠山庙会,董永传说,周庄水乡婚礼,苏州端午习俗,ABCD,四项均为江苏民俗非遗，其中董永传说、苏州端午为国家级，惠山庙会、周庄婚礼为省级,简单
110,多选,安徽,以下属于徽州新安医学范畴的安徽非遗项目有？,安宫牛黄丸制作技艺,六味地黄丸制作技艺,中医四诊法,三七炮制技艺,ABD,安宫牛黄丸、六味地黄丸、三七炮制均属新安医学技艺；中医四诊法是通用中医理论，不专属新安医学,困难
111,多选,上海,以下属于上海国家级非遗的食品制作技艺有？,南翔小笼馒头制作技艺,浦东家宴老八样制作技艺,功德林素食制作技艺,沈大成糕团制作技艺,AC,南翔小笼、功德林素食为上海国家级非遗；其余两项为市级非遗,简单
112,多选,浙江,以下以 “高亢激昂” 为唱腔特色的浙江戏曲剧种有？,绍剧,婺剧,越剧,甬剧,AB,绍剧、婺剧唱腔高亢豪放；越剧、甬剧唱腔委婉柔美,中等
113,多选,上海,以下属于上海国家级非遗的曲艺项目有？,锣鼓书,苏州评弹,上海港码头号子,浦东说书,AC,锣鼓书、上海港码头号子为上海国家级非遗；苏州评弹为沪苏共同非遗，浦东说书为市级,中等
114,多选,安徽,以下属于安徽国家级非遗的传统舞蹈有？,徽州板凳龙,手龙舞,草龙舞,二龙戏蛛,AB,徽州板凳龙、手龙舞为安徽国家级非遗；草龙舞、二龙戏蛛为省级,中等
115,多选,上海,以下属于上海国家级非遗的传统美术项目有？,顾绣,徐行草编,檀香扇制作技艺,上海剪纸,ABC,顾绣、徐行草编、檀香扇制作技艺为上海国家级非遗；上海剪纸为市级,简单
116,多选,浙江,以下与浙江海洋文化相关的非遗民俗有？,祭海祈佑习俗,嵊泗渔歌,海盐晒制技艺,廿八都木偶戏,ABC,祭海、渔歌、海盐晒制均属海洋文化；廿八都木偶戏属山地民俗，不涉海洋,中等
117,多选,浙江,以下属于浙江省级及以上非遗的传统医药技艺有？,姚氏眼科疗法,绍派中医疗法,永嘉医派疗法,胡庆余堂制药技艺,ABCD,四项均为浙江传统医药非遗，其中胡庆余堂制药技艺为国家级，其余三项为省级,困难
118,多选,安徽,以下属于安徽国家级非遗的传统造纸 / 制砚技艺有？,宣纸制作技艺,歙砚制作技艺,竹纸制作技艺,皮纸制作技艺,AB,宣纸、歙砚为安徽国家级非遗；竹纸、皮纸制作技艺为省级,简单
119,多选,江苏,以下属于江苏国家级非遗的戏曲剧种有？,昆曲,锡剧,扬剧,淮剧,ABCD,四项均为江苏国家级非遗，昆曲为世界非遗，其余三项为地方特色剧种,中等
120,多选,长三角共同,以下属于长三角地区共同传承的民俗活动有？,端午节（赛龙舟）,中秋节（赏月）,春节（舞龙）,重阳节（登高）,ABC,端午赛龙舟、中秋赏月、春节舞龙在长三角三省一市均有传承；重阳节登高非长三角特色民俗,简单
121,判断,上海,顾绣是中国四大名绣之一，起源于上海顾名世家族。（ ）,无,无,无,无,错误,顾绣是上海非遗，但不属于 “中国四大名绣”（四大名绣为苏绣、湘绣、粤绣、蜀绣），是四大名绣之外的重要流派,中等
122,判断,江苏,宜兴紫砂陶制作技艺的核心原料是紫砂泥，仅产于江苏宜兴丁蜀镇。（ ）,无,无,无,无,正确,紫砂泥是宜兴紫砂陶的独特原料，仅产自江苏宜兴丁蜀镇周边山区，这是宜兴紫砂陶的核心特色,简单
123,判断,浙江,龙泉青瓷烧制技艺中，哥窑以 “粉青”“梅子青” 釉色著称，弟窑以开片纹为特色。（ ）,无,无,无,无,错误,龙泉青瓷中，弟窑以 “粉青”“梅子青” 釉色取胜，哥窑以开片纹（冰裂纹）为核心特色，题干颠倒,中等
124,判断,安徽,宣纸制作技艺起源于安徽泾县，因唐代泾县隶属宣州府而得名 “宣纸”。（ ）,无,无,无,无,正确,宣纸并非起源于宣城，而是泾县，因唐代泾县属宣州府管辖，故以 “宣” 为名,简单
125,判断,江苏,昆曲是中国第一个被列入《人类非物质文化遗产代表作名录》的戏曲剧种。（ ）,无,无,无,无,正确,2001 年昆曲入选首批世界非遗，是中国首个获此殊荣的戏曲剧种，被誉为 “百戏之祖”,简单
126,判断,浙江,越剧起源于浙江嵊州，最初的形式是 “落地唱书”，后发展为戏曲剧种。（ ）,无,无,无,无,正确,越剧起源于清末浙江嵊州，早期为民间说唱 “落地唱书”，1925 年正式定名 “越剧”,简单
127,判断,安徽,池州傩戏被誉为 “戏曲活化石”，表演时无需佩戴面具。（ ）,无,无,无,无,错误,池州傩戏的核心特色是 “佩戴面具表演”，面具分 “神面”“鬼面”“人面”，是驱邪纳福的象征,中等
128,判断,上海,沪剧原名 “申曲”，是以上海方言为基础形成的地方戏曲剧种。（ ）,无,无,无,无,正确,沪剧起源于上海浦东，早期称 “申曲”，1941 年定名 “沪剧”，语言为上海方言，擅长表现现代生活,简单
129,判断,长三角共同,江南丝竹是流行于长三角地区的传统器乐合奏，常用乐器包括唢呐。（ ）,无,无,无,无,错误,江南丝竹常用乐器为二胡、琵琶、笛子、扬琴等丝竹乐器；唢呐音色高亢，多用于北方鼓吹乐，不属江南丝竹,中等
130,判断,安徽,凤阳民歌是安徽国家级非遗，代表曲目《凤阳花鼓》有 “东方芭蕾” 之称。（ ）,无,无,无,无,错误,《凤阳花鼓》是凤阳民歌代表，但 “东方芭蕾” 指的是江苏蚌埠的花鼓灯（传统舞蹈），非凤阳民歌,中等
131,判断,上海,上海港码头号子是码头工人劳动时传唱的歌曲，用于协调动作、抒发情感。（ ）,无,无,无,无,正确,上海港码头号子是上海国家级非遗，分 “起锚号”“拉纤号” 等，是劳动号子的典型代表,简单
132,判断,浙江,《高山流水》是浙派古琴的代表性曲目，相传为春秋时期伯牙所作。（ ）,无,无,无,无,正确,浙江古琴艺术（浙派）是国家级非遗，《高山流水》是浙派核心曲目，伯牙子期 “知音” 故事与之相关,中等
133,判断,江苏,花鼓灯是江苏蚌埠的国家级非遗，被誉为 “东方芭蕾”。（ ）,无,无,无,无,正确,花鼓灯起源于安徽蚌埠（原属江苏管辖，现属安徽），是中国汉族民间舞蹈代表，获 “东方芭蕾” 美誉,中等
134,判断,浙江,奉化布龙是浙江宁波的国家级非遗，以稻草为原料制作龙身。（ ）,无,无,无,无,错误,奉化布龙以 “布” 为原料制作龙身，而非稻草；以稻草为原料的是浙江汾口草龙,简单
135,判断,安徽,徽州板凳龙是安徽国家级非遗，表演时以板凳首尾相连为龙身。（ ）,无,无,无,无,正确,徽州板凳龙 2021 年入选国家级非遗，核心特色是用板凳拼接龙身，象征 “团结”，多在元宵表演,简单
136,判断,上海,三林舞龙是上海国家级非遗，又称 “浦东绕龙灯”，龙身由竹骨布面制成。（ ）,无,无,无,无,正确,三林舞龙 2008 年入选国家级非遗，龙身以竹为骨、白布为衣，夜间舞动时内置灯烛，观赏性强,简单
137,判断,江苏,惠山泥人是江苏无锡的国家级非遗，分为 “粗货” 和 “细货” 两类。（ ）,无,无,无,无,正确,惠山泥人 “粗货” 为吉祥摆件（如大阿福），“细货” 为精细手工艺品（如戏曲人物），均属国家级非遗,简单
138,判断,浙江,乐清细纹刻纸是浙江国家级非遗，以 “细如发丝” 的刀法著称，被誉为 “中国剪纸的明珠”。（ ）,无,无,无,无,正确,乐清细纹刻纸 2006 年入选国家级非遗，刀法细腻，可在方寸纸间刻出千余线条，工艺难度极高,中等
139,判断,安徽,“徽州三雕” 指的是石雕、木雕、砖雕，均为安徽国家级非遗。（ ）,无,无,无,无,正确,徽州石雕、木雕、砖雕合称 “徽州三雕”，2006 年共同入选首批国家级非遗，是徽派文化的核心载体,简单
140,判断,上海,徐行草编是上海嘉定的国家级非遗，主要以芦苇为原料制作生活用品。（ ）,无,无,无,无,错误,徐行草编的原料是 “黄草”（当地特有草本植物），而非芦苇，产品涵盖篮、席、包等生活用品,中等
141,判断,上海,龙华庙会是上海国家级非遗，每年农历三月三举行，纪念黄浦江守护神 “陈三姑”。（ ）,无,无,无,无,错误,纪念 “陈三姑” 的是上海三林圣堂庙会；龙华庙会无特定纪念对象，以宗教文化、民俗表演为核心,中等
142,判断,江苏,董永传说是江苏丹阳的国家级非遗，改编自 “牛郎织女” 的民间故事。（ ）,无,无,无,无,错误,董永传说核心是 “董永卖身葬父”，与 “牛郎织女”（七夕爱情故事）无关，2006 年入选国家级非遗,中等
143,判断,浙江,钱塘江观潮是浙江中秋期间的特色民俗，与中秋节 “赏月” 习俗并称。（ ）,无,无,无,无,正确,钱塘江观潮以中秋前后（农历八月十八）最为壮观，是浙江中秋民俗的重要组成部分，与赏月同为中秋特色活动,简单
144,判断,安徽,徽州庙会是安徽黄山的省级非遗，主要在春节、元宵期间举行。（ ）,无,无,无,无,正确,徽州庙会集中展示徽州民俗、非遗技艺，春节、元宵期间活动最盛，2010 年入选安徽省级非遗,简单
145,判断,安徽,徽州新安医学是安徽国家级非遗，代表产品有 “安宫牛黄丸”“六味地黄丸”。（ ）,无,无,无,无,正确,新安医学是安徽国家级非遗，明清时期鼎盛，“安宫牛黄丸”“六味地黄丸” 是其经典中成药,中等
146,判断,江苏,孟河医派是江苏常州的省级非遗，擅长治疗中医内科、外科疾病。（ ）,无,无,无,无,正确,孟河医派起源于江苏常州孟河镇，是清代著名中医流派，内科、外科均有深厚造诣，2009 年入选省级非遗,中等
147,判断,浙江,姚氏眼科疗法是浙江省级非遗，主要治疗白内障、青光眼等眼科疾病。（ ）,无,无,无,无,正确,姚氏眼科疗法起源于浙江余姚，传承数代，对白内障、青光眼等眼科常见病有独特诊疗方法,简单
148,判断,上海,石氏伤科疗法是上海国家级非遗，擅长治疗跌打损伤、骨伤科疾病。（ ）,无,无,无,无,正确,石氏伤科起源于上海，2008 年入选国家级非遗，是海派中医伤科的代表，诊疗跌打损伤疗效显著,简单
149,判断,江苏,扬州漆器技艺是江苏国家级非遗，核心工艺包括 “点螺”“雕漆”“平磨螺钿”。（ ）,无,无,无,无,正确,扬州漆器技艺始于战国，2006 年入选国家级非遗，“点螺”“雕漆” 等工艺是其核心特色,简单
150,判断,浙江,金华火腿制作技艺是浙江国家级非遗，选用的原料是 “金华两头乌” 猪肉。（ ）,无,无,无,无,正确,金华火腿以当地 “金华两头乌” 猪肉为原料，肉质细嫩，2008 年入选国家级非遗，是中国火腿代表,简单

